significant wave height (m);zero-up-crossing period (s)
4.5;6.25
4.45;6.25
4.45;6.2
4.45;6.15
4.4;6.15
4.4;6.1000000000000005
4.4;6.050000000000001
4.3500000000000005;6.050000000000001
4.3500000000000005;6.0
4.3500000000000005;5.95
4.3;5.95
4.3;5.9
4.25;5.9
4.25;5.8500000000000005
4.25;5.800000000000001
4.2;5.800000000000001
4.2;5.75
4.2;5.7
4.15;5.7
4.15;5.65
4.1000000000000005;5.65
4.1000000000000005;5.6000000000000005
4.1000000000000005;5.550000000000001
4.05;5.550000000000001
4.05;5.5
4.0;5.5
4.0;5.45
4.0;5.4
3.95;5.4
3.95;5.3500000000000005
3.9000000000000004;5.3500000000000005
3.9000000000000004;5.300000000000001
3.85;5.300000000000001
3.85;5.25
3.85;5.2
3.8000000000000003;5.2
3.8000000000000003;5.15
3.75;5.15
3.75;5.1000000000000005
3.75;5.050000000000001
3.7;5.050000000000001
3.7;5.0
3.6500000000000004;5.0
3.6500000000000004;4.95
3.6;4.95
3.6;4.9
3.5500000000000003;4.9
3.5500000000000003;4.8500000000000005
3.5500000000000003;4.800000000000001
3.5;4.800000000000001
3.5;4.75
3.45;4.75
3.45;4.7
3.4000000000000004;4.7
3.4000000000000004;4.65
3.35;4.65
3.35;4.6000000000000005
3.35;4.55
3.3000000000000003;4.55
3.3000000000000003;4.5
3.25;4.5
3.25;4.45
3.2;4.45
3.2;4.4
3.1500000000000004;4.4
3.1500000000000004;4.3500000000000005
3.1;4.3500000000000005
3.1;4.3
3.1;4.25
3.0500000000000003;4.25
3.0500000000000003;4.2
3.0;4.2
3.0;4.15
2.95;4.15
2.95;4.1000000000000005
2.9000000000000004;4.1000000000000005
2.9000000000000004;4.05
2.85;4.05
2.85;4.0
2.8000000000000003;4.0
2.8000000000000003;3.95
2.8000000000000003;3.9000000000000004
2.75;3.9000000000000004
2.75;3.85
2.7;3.85
2.7;3.8000000000000003
2.6500000000000004;3.8000000000000003
2.6500000000000004;3.75
2.6;3.75
2.6;3.7
2.5500000000000003;3.7
2.5500000000000003;3.6500000000000004
2.5;3.6500000000000004
2.5;3.6
2.45;3.6
2.45;3.5500000000000003
2.4000000000000004;3.5500000000000003
2.4000000000000004;3.5
2.4000000000000004;3.45
2.35;3.45
2.35;3.4000000000000004
2.3000000000000003;3.4000000000000004
2.3000000000000003;3.35
2.25;3.35
2.25;3.3000000000000003
2.2;3.3000000000000003
2.2;3.25
2.15;3.25
2.15;3.2
2.1;3.2
2.1;3.1500000000000004
2.0500000000000003;3.1500000000000004
2.0500000000000003;3.1
2.0;3.1
2.0;3.0500000000000003
1.9500000000000002;3.0500000000000003
1.9500000000000002;3.0
1.9000000000000001;3.0
1.9000000000000001;2.95
1.85;2.95
1.85;2.9000000000000004
1.85;2.85
1.8;2.85
1.8;2.8000000000000003
1.75;2.8000000000000003
1.75;2.75
1.7000000000000002;2.75
1.7000000000000002;2.7
1.6500000000000001;2.7
1.6500000000000001;2.6500000000000004
1.6;2.6500000000000004
1.6;2.6
1.55;2.6
1.55;2.5500000000000003
1.5;2.5500000000000003
1.5;2.5
1.4500000000000002;2.5
1.4500000000000002;2.45
1.4000000000000001;2.45
1.4000000000000001;2.4000000000000004
1.35;2.4000000000000004
1.35;2.35
1.3;2.35
1.3;2.3000000000000003
1.25;2.3000000000000003
1.25;2.25
1.2000000000000002;2.25
1.2000000000000002;2.2
1.1500000000000001;2.2
1.1500000000000001;2.15
1.1;2.15
1.1;2.1
1.05;2.1
1.05;2.0500000000000003
1.0;2.0500000000000003
1.0;2.0
0.9500000000000001;2.0
0.9500000000000001;1.9500000000000002
0.9;1.9500000000000002
0.9;1.9000000000000001
0.9;1.85
0.8500000000000001;1.85
0.8500000000000001;1.8
0.8;1.8
0.8;1.75
0.75;1.75
0.75;1.7000000000000002
0.7000000000000001;1.7000000000000002
0.7000000000000001;1.6500000000000001
0.65;1.6500000000000001
0.65;1.6
0.6000000000000001;1.6
0.6000000000000001;1.55
0.55;1.55
0.55;1.5
0.5;1.5
0.5;1.4500000000000002
0.45;1.4500000000000002
0.45;1.4000000000000001
0.4;1.4000000000000001
0.4;1.35
0.35000000000000003;1.35
0.35000000000000003;1.3
0.30000000000000004;1.3
0.30000000000000004;1.25
0.25;1.25
0.2;1.25
0.2;1.2000000000000002
